season,playerId,player,position,team,conference,category,statType,stat
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,ATT,241
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,COMPLETIONS,124
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,INT,8
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,PCT,0.515
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,TD,9
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,YDS,1726
2024,4426687,Johnathan Bennett,QB,The Citadel,Southern,passing,YPA,7.2
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,ATT,45
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,COMPLETIONS,22
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,INT,3
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,PCT,0.489
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,TD,1
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,YDS,269
2024,4426688,Kaiden Bennett,QB,Sacramento State,Big Sky,passing,YPA,6.0
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,ATT,508
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,COMPLETIONS,334
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,INT,9
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,PCT,0.657
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,TD,33
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,YDS,3614
2024,4426847,Zach Calzada,QB,Incarnate Word,Southland,passing,YPA,7.1
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,ATT,139
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,COMPLETIONS,79
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,INT,5
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,PCT,0.568
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,TD,10
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,YDS,1066
2024,4426884,Quincy Casey,QB,West Georgia,UAC,passing,YPA,7.7
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,ATT,243
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,COMPLETIONS,148
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,INT,7
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,PCT,0.609
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,TD,12
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,YDS,1961
2024,4426894,Dante Chachere,QB,Portland State,Big Sky,passing,YPA,8.1
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,ATT,3
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,COMPLETIONS,3
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,INT,0
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,PCT,1.000
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,TD,0
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,YDS,66
2024,4427146,Luke Elzinga,P,Oklahoma,SEC,passing,YPA,22.0
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,ATT,43
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,COMPLETIONS,23
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,INT,2
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,PCT,0.535
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,TD,3
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,YDS,307
2024,4427191,Dequan Finn,QB,Baylor,Big 12,passing,YPA,7.1
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,ATT,447
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,COMPLETIONS,326
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,INT,6
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,PCT,0.729
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,TD,30
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,YDS,3857
2024,4427238,Dillon Gabriel,QB,Oregon,Big Ten,passing,YPA,8.6
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,ATT,379
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,COMPLETIONS,217
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,INT,11
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,PCT,0.573
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,TD,21
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,YDS,2921
2024,4427243,Brett Gabbert,QB,Miami (OH),Mid-American,passing,YPA,7.7
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,ATT,7
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,COMPLETIONS,3
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,INT,0
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,PCT,0.429
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,TD,0
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,YDS,18
2024,4427313,Ta'Quan Roberson,QB,Kansas State,Big 12,passing,YPA,2.6
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,ATT,283
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,COMPLETIONS,171
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,INT,5
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,PCT,0.604
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,TD,12
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,YDS,1686
2024,4427354,Jarrett Guest,QB,Bryant,CAA,passing,YPA,6.0
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,ATT,172
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,COMPLETIONS,104
