team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses
Arkansas-Pine Bluff,2024,9,3,2,1,0.6666666666666666,111.0,73.0,38.0,37.0,24.333333333333332,12.666666666666666,2,1,0,0
Arkansas-Pine Bluff,2024,11,4,3,1,0.75,146.0,94.0,52.0,36.5,23.5,13.0,3,1,0,0
Arkansas-Pine Bluff,2024,13,5,3,2,0.6,170.0,146.0,24.0,34.0,29.2,4.8,3,2,0,0
Army,2022,3,1,0,1,0.0,38.0,41.0,-3.0,38.0,41.0,-3.0,0,1,0,0
Army,2022,5,2,1,1,0.5,87.0,51.0,36.0,43.5,25.5,18.0,1,1,0,0
Army,2022,7,3,1,2,0.3333333333333333,101.0,82.0,19.0,33.666666666666664,27.333333333333332,6.333333333333333,1,2,0,0
Army,2022,8,4,2,2,0.5,143.0,99.0,44.0,35.75,24.75,11.0,2,2,0,0
Army,2022,10,5,3,2,0.6,191.0,123.0,68.0,38.2,24.6,13.6,3,2,0,0
Army,2022,12,6,3,3,0.5,198.0,136.0,62.0,33.0,22.666666666666668,10.333333333333334,3,3,0,0
Army,2022,15,7,4,3,0.5714285714285714,232.0,153.0,79.0,33.142857142857146,21.857142857142858,11.285714285714286,4,3,0,0
Army,2023,6,1,1,0,1.0,57.0,0.0,57.0,57.0,0.0,57.0,1,0,0,0
Army,2023,7,2,1,1,0.5,81.0,27.0,54.0,40.5,13.5,27.0,1,1,0,0
Army,2023,9,3,1,2,0.3333333333333333,81.0,46.0,35.0,27.0,15.333333333333334,11.666666666666666,1,2,0,0
Army,2023,11,4,1,3,0.25,95.0,67.0,28.0,23.75,16.75,7.0,1,3,0,0
Army,2023,12,5,2,3,0.4,112.0,81.0,31.0,22.4,16.2,6.2,2,3,0,0
Army,2023,15,6,3,3,0.5,140.0,102.0,38.0,23.333333333333332,17.0,6.333333333333333,3,3,0,0
Army,2024,4,2,2,0,1.0,69.0,13.0,56.0,34.5,6.5,28.0,2,0,0,0
Army,2024,7,3,3,0,1.0,106.0,27.0,79.0,35.333333333333336,9.0,26.333333333333332,3,0,0,0
Army,2024,8,4,4,0,1.0,150.0,37.0,113.0,37.5,9.25,28.25,4,0,0,0
Army,2024,10,5,5,0,1.0,195.0,65.0,130.0,39.0,13.0,26.0,5,0,0,0
Army,2024,14,6,6,0,1.0,215.0,68.0,147.0,35.833333333333336,11.333333333333334,24.5,6,0,0,0
Army,2024,15,7,7,0,1.0,244.0,92.0,152.0,34.857142857142854,13.142857142857142,21.714285714285715,7,0,0,0
Army,2024,16,8,8,0,1.0,279.0,106.0,173.0,34.875,13.25,21.625,8,0,0,0
Ashland,2022,5,1,1,0,1.0,31.0,14.0,17.0,31.0,14.0,17.0,1,0,0,0
Ashland,2022,7,2,2,0,1.0,87.0,31.0,56.0,43.5,15.5,28.0,2,0,0,0
Ashland,2022,8,3,3,0,1.0,101.0,38.0,63.0,33.666666666666664,12.666666666666666,21.0,3,0,0,0
Ashland,2022,11,4,4,0,1.0,129.0,58.0,71.0,32.25,14.5,17.75,4,0,0,0
Ashland,2022,12,5,5,0,1.0,170.0,68.0,102.0,34.0,13.6,20.4,5,0,0,0
Ashland,2023,3,1,0,1,0.0,28.0,38.0,-10.0,28.0,38.0,-10.0,0,1,0,0
Ashland,2023,6,2,1,1,0.5,66.0,52.0,14.0,33.0,26.0,7.0,1,1,0,0
Ashland,2023,8,3,2,1,0.6666666666666666,87.0,59.0,28.0,29.0,19.666666666666668,9.333333333333334,2,1,0,0
Ashland,2023,9,4,3,1,0.75,118.0,78.0,40.0,29.5,19.5,10.0,3,1,0,0
Ashland,2023,10,5,4,1,0.8,146.0,98.0,48.0,29.2,19.6,9.6,4,1,0,0
Ashland,2024,5,1,0,1,0.0,10.0,19.0,-9.0,10.0,19.0,-9.0,0,1,0,0
Ashland,2024,6,2,1,1,0.5,31.0,31.0,0.0,15.5,15.5,0.0,1,1,0,0
Ashland,2024,9,3,2,1,0.6666666666666666,57.0,37.0,20.0,19.0,12.333333333333334,6.666666666666667,2,1,0,0
Ashland,2024,12,4,3,1,0.75,66.0,44.0,22.0,16.5,11.0,5.5,3,1,0,0
Assumption,2022,6,1,1,0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,1,0,0,0
Assumption,2022,7,2,2,0,1.0,31.0,14.0,17.0,15.5,7.0,8.5,2,0,0,0
Assumption,2022,9,3,2,1,0.6666666666666666,34.0,24.0,10.0,11.333333333333334,8.0,3.3333333333333335,2,1,0,0
Assumption,2022,12,4,3,1,0.75,48.0,37.0,11.0,12.0,9.25,2.75,3,1,0,0
Assumption,2023,5,1,1,0,1.0,31.0,20.0,11.0,31.0,20.0,11.0,1,0,0,0
Assumption,2023,6,2,2,0,1.0,67.0,42.0,25.0,33.5,21.0,12.5,2,0,0,0
Assumption,2023,8,3,3,0,1.0,105.0,56.0,49.0,35.0,18.666666666666668,16.333333333333332,3,0,0,0
Assumption,2023,11,4,3,1,0.75,105.0,70.0,35.0,26.25,17.5,8.75,3,1,0,0
Assumption,2024,7,1,1,0,1.0,35.0,7.0,28.0,35.0,7.0,28.0,1,0,0,0
Assumption,2024,9,2,2,0,1.0,51.0,20.0,31.0,25.5,10.0,15.5,2,0,0,0
Assumption,2024,12,3,3,0,1.0,70.0,34.0,36.0,23.333333333333332,11.333333333333334,12.0,3,0,0,0
Auburn,2022,2,1,1,0,1.0,42.0,16.0,26.0,42.0,16.0,26.0,1,0,0,0
Auburn,2022,3,2,2,0,1.0,66.0,32.0,34.0,33.0,16.0,17.0,2,0,0,0
Auburn,2022,4,3,2,1,0.6666666666666666,78.0,73.0,5.0,26.0,24.333333333333332,1.6666666666666667,2,1,0,0
Auburn,2022,5,4,3,1,0.75,95.0,87.0,8.0,23.75,21.75,2.0,3,1,0,0
Auburn,2022,9,5,3,2,0.6,112.0,108.0,4.0,22.4,21.6,0.8,3,2,0,0
Auburn,2022,11,6,3,3,0.5,139.0,149.0,-10.0,23.166666666666668,24.833333333333332,-1.6666666666666667,3,3,0,0
Auburn,2022,12,7,4,3,0.5714285714285714,152.0,159.0,-7.0,21.714285714285715,22.714285714285715,-1.0,4,3,0,0
Auburn,2023,3,1,1,0,1.0,59.0,14.0,45.0,59.0,14.0,45.0,1,0,0,0
Auburn,2023,5,2,2,0,1.0,104.0,27.0,77.0,52.0,13.5,38.5,2,0,0,0
Auburn,2023,8,3,2,1,0.6666666666666666,124.0,54.0,70.0,41.333333333333336,18.0,23.333333333333332,2,1,0,0
Auburn,2023,9,4,2,2,0.5,145.0,82.0,63.0,36.25,20.5,15.75,2,2,0,0
Auburn,2023,12,5,3,2,0.6,172.0,95.0,77.0,34.4,19.0,15.4,3,2,0,0
Auburn,2023,13,6,3,3,0.5,182.0,126.0,56.0,30.333333333333332,21.0,9.333333333333334,3,3,0,0
Auburn,2024,2,1,1,0,1.0,73.0,3.0,70.0,73.0,3.0,70.0,1,0,0,0
Auburn,2024,3,2,1,1,0.5,87.0,24.0,63.0,43.5,12.0,31.5,1,1,0,0
Auburn,2024,4,3,2,1,0.6666666666666666,132.0,43.0,89.0,44.0,14.333333333333334,29.666666666666668,2,1,0,0
Auburn,2024,5,4,2,2,0.5,146.0,67.0,79.0,36.5,16.75,19.75,2,2,0,0
Auburn,2024,10,5,2,3,0.4,167.0,94.0,73.0,33.4,18.8,14.6,2,3,0,0
Auburn,2024,12,6,2,4,0.3333333333333333,174.0,111.0,63.0,29.0,18.5,10.5,2,4,0,0
Auburn,2024,13,7,3,4,0.42857142857142855,222.0,125.0,97.0,31.714285714285715,17.857142857142858,13.857142857142858,3,4,0,0
