season,id,name,position,team,conference,usage
2024,4371078,Romelo Williams,QB,Virginia St,,"{'overall': 0.436, 'pass': 0.762, 'rush': 0.242, 'firstDown': 0.292, 'secondDown': 0.389, 'thirdDown': 0.769, 'standardDowns': 0.351, 'passingDowns': 0.611}"
2024,4373895,Ben Wooldridge,QB,Louisiana,SBC,"{'overall': 0.501, 'pass': 0.89, 'rush': 0.139, 'firstDown': 0.416, 'secondDown': 0.538, 'thirdDown': 0.615, 'standardDowns': 0.461, 'passingDowns': 0.61}"
2024,4376241,D'Angelo Durham,RB,McNeese,,"{'overall': 0.102, 'pass': 0.027, 'rush': 0.165, 'firstDown': 0.141, 'secondDown': 0.075, 'thirdDown': 0.059, 'standardDowns': 0.124, 'passingDowns': 0.058}"
2024,4379400,Matthew Downing,QB,Elon,,"{'overall': 0.431, 'pass': 0.781, 'rush': 0.108, 'firstDown': 0.373, 'secondDown': 0.409, 'thirdDown': 0.608, 'standardDowns': 0.379, 'passingDowns': 0.533}"
2024,4379471,Tyler Brown,WR,Clemson,ACC,"{'overall': 0.053, 'pass': 0.079, 'rush': 0.02, 'firstDown': 0.059, 'secondDown': 0.083, 'thirdDown': 0, 'standardDowns': 0.053, 'passingDowns': 0.053}"
2024,4383431,Cameron Lewis,WR,East Tennessee State,,"{'overall': 0.066, 'pass': 0.148, 'rush': 0, 'firstDown': 0.085, 'secondDown': 0.047, 'thirdDown': 0, 'standardDowns': 0.072, 'passingDowns': 0.051}"
2024,4384603,Will McElvain,QB,Central Arkansas,,"{'overall': 0.432, 'pass': 0.783, 'rush': 0.1, 'firstDown': 0.395, 'secondDown': 0.419, 'thirdDown': 0.547, 'standardDowns': 0.394, 'passingDowns': 0.503}"
2024,4395522,Jacob Van Landingham,WR,Northern State,,"{'overall': 0.038, 'pass': 0.154, 'rush': 0, 'firstDown': 0, 'secondDown': 0.125, 'thirdDown': 0, 'standardDowns': 0, 'passingDowns': 0.083}"
2024,4426333,John Emery Jr.,RB,LSU,SEC,"{'overall': 0.172, 'pass': 0.026, 'rush': 0.385, 'firstDown': 0.276, 'secondDown': 0.1, 'thirdDown': 0.077, 'standardDowns': 0.204, 'passingDowns': 0.067}"
2024,4426335,Graham Mertz,QB,Florida,SEC,"{'overall': 0.373, 'pass': 0.645, 'rush': 0.104, 'firstDown': 0.349, 'secondDown': 0.323, 'thirdDown': 0.509, 'standardDowns': 0.341, 'passingDowns': 0.453}"
2024,4426337,Bru McCoy,WR,Tennessee,SEC,"{'overall': 0.055, 'pass': 0.125, 'rush': 0.004, 'firstDown': 0.069, 'secondDown': 0.051, 'thirdDown': 0.038, 'standardDowns': 0.058, 'passingDowns': 0.049}"
2024,4426357,Kyle Ford,WR,USC,B1G,"{'overall': 0.044, 'pass': 0.073, 'rush': 0.003, 'firstDown': 0.024, 'secondDown': 0.074, 'thirdDown': 0.05, 'standardDowns': 0.023, 'passingDowns': 0.103}"
2024,4426409,Chez Mellusi,RB,Wisconsin,B1G,"{'overall': 0.225, 'pass': 0.05, 'rush': 0.367, 'firstDown': 0.276, 'secondDown': 0.234, 'thirdDown': 0.113, 'standardDowns': 0.267, 'passingDowns': 0.101}"
2024,4426410,Mycah Pittman,WR,Utah,B12,"{'overall': 0.018, 'pass': 0.032, 'rush': 0, 'firstDown': 0.021, 'secondDown': 0.009, 'thirdDown': 0.027, 'standardDowns': 0.014, 'passingDowns': 0.024}"
