team,outgoing_transfers,incoming_transfers,net_transfers,avg_outgoing_stars,avg_incoming_stars,high_star_outgoing,high_star_incoming
Northern Iowa,3,4,1,3.0,2.5,0,0
Baylor,15,16,1,3.0,3.0625,0,1
Florida A&M,9,24,15,3.0,3.05,0,2
Northwestern State,3,3,0,2.5,3.0,0,0
East Tennessee State,3,6,3,3.0,2.75,0,0
Cal Poly,2,2,0,3.5,2.5,1,0
Tennessee Tech,4,7,3,3.0,3.0,0,0
Oklahoma State,11,8,-3,3.0,3.0,0,0
Samford,3,7,4,3.0,2.8333333333333335,0,1
Incarnate Word,1,11,10,3.0,2.8,0,1
Columbia,2,1,-1,3.0,,0,0
North Carolina Central,4,5,1,3.0,2.75,0,0
Holy Cross,8,0,-8,2.875,0.0,0,0
University of Guelph,1,0,-1,3.0,0.0,0,0
Wagner,1,2,1,,3.0,0,0
South Carolina,26,22,-4,3.125,3.1818181818181817,3,4
Maine,5,3,-2,3.0,2.5,0,0
Florida State,19,17,-2,2.9444444444444446,3.588235294117647,0,10
Jacksonville State,14,19,5,2.8461538461538463,2.9444444444444446,0,0
Northern Colorado,5,1,-4,3.0,,0,0
Louisiana,6,7,1,3.0,3.0,0,0
Portland State,4,8,4,2.75,2.857142857142857,0,0
Jackson State,4,12,8,3.0,2.909090909090909,0,0
McNeese,1,12,11,,2.8,0,1
North Dakota,6,2,-4,3.2,2.0,1,0
Abilene Christian,2,13,11,3.0,2.9,0,0
Newberry,2,0,-2,3.0,0.0,0,0
Nebraska,10,8,-2,3.1,3.2857142857142856,1,2
Weber State,7,5,-2,3.1666666666666665,3.0,1,0
Youngstown State,8,8,0,3.0,3.0,0,0
Illinois State,1,4,3,,2.6666666666666665,0,0
Richmond,3,0,-3,3.0,0.0,0,0
Cornell,5,0,-5,3.0,0.0,0,0
Anderson,1,0,-1,2.0,0.0,0,0
Notre Dame College,4,0,-4,2.5,0.0,0,0
UT Martin,5,11,6,3.0,2.727272727272727,0,0
Chattanooga,2,4,2,3.0,3.0,0,0
Northwestern,12,6,-6,3.0,3.0,0,0
Delaware,1,7,6,3.0,2.8333333333333335,0,0
Fort Hays State,1,0,-1,,0.0,0,0
Limestone College,2,0,-2,3.0,0.0,0,0
Hampton,1,6,5,,2.8333333333333335,0,0
Monmouth,4,3,-1,3.25,2.6666666666666665,1,0
Greeneville,2,0,-2,3.0,0.0,0,0
Utah Tech,4,8,4,3.0,2.875,0,0
Harvard,9,0,-9,3.0,0.0,0,0
Sacred Heart,1,2,1,,,0,0
Clemson,11,0,-11,3.090909090909091,0.0,2,0
Georgetown,3,1,-2,3.0,2.0,0,0
Lafayette,2,1,-1,3.0,,0,0
Robert Morris,2,1,-1,3.0,2.0,0,0
Stephen F. Austin,3,15,12,3.0,3.0,0,0
Sacramento State,3,8,5,3.0,2.8333333333333335,0,0
Exeter,1,0,-1,,0.0,0,0
Northwest Missouri St,2,1,-1,2.5,3.0,0,0
Southern,2,4,2,3.0,3.0,0,0
Tiffin University,3,2,-1,2.6666666666666665,3.0,0,0
New Hampshire,2,0,-2,3.5,0.0,1,0
UAlbany,4,7,3,3.25,2.75,1,0
UC Davis,2,1,-1,3.0,3.0,0,0
Montana State,4,3,-1,3.25,2.6666666666666665,1,0
Bucknell,3,2,-1,3.0,3.0,0,0
Murray State,2,14,12,3.5,3.0,1,0
William & Mary,1,2,1,4.0,3.0,1,0
Saint Francis (PA),3,1,-2,3.0,2.0,0,0
Tufts University,1,0,-1,3.0,0.0,0,0
Princeton,3,0,-3,3.0,0.0,0,0
Duquesne,2,3,1,3.0,3.0,0,0
Franklin College,1,0,-1,3.0,0.0,0,0
Tuskegee,1,0,-1,3.0,0.0,0,0
Johns Hopkins University,1,0,-1,3.0,0.0,0,0
Central Arkansas,2,1,-1,3.0,3.0,0,0
Missouri State,2,7,5,3.0,3.0,0,0
Eastern Illinois,2,3,1,3.0,3.0,0,0
Western Carolina,2,0,-2,3.0,0.0,0,0
Muhlenberg,1,0,-1,3.0,0.0,0,0
South Carolina State,2,1,-1,3.0,3.0,0,0
Rice,3,10,7,3.0,3.0,0,0
Shorter,1,0,-1,3.0,0.0,0,0
Ohio Dominican,1,0,-1,3.0,0.0,0,0
Southern Utah,1,4,3,3.0,2.6666666666666665,0,0
North Carolina A&T,1,3,2,3.0,3.0,0,0
Rhode Island,2,5,3,3.0,2.6666666666666665,0,1
