id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,opponent_games,opponent_wins,opponent_losses,opponent_win_pct,opponent_ppg,opponent_papg,opponent_ypg,opponent_yapg,opponent_pass_ypg,opponent_rush_ypg,opponent_pass_yapg,opponent_rush_yapg,opponent_turnovers,opponent_turnovers_forced,opponent_penalties,opponent_penalty_yards,tennessee_games,tennessee_wins,tennessee_losses,tennessee_win_pct,tennessee_ppg,tennessee_papg,tennessee_ypg,tennessee_yapg,tennessee_pass_ypg,tennessee_rush_ypg,tennessee_pass_yapg,tennessee_rush_yapg,tennessee_turnovers,tennessee_turnovers_forced,tennessee_penalties,tennessee_penalty_yards,opponent_off_eff,opponent_def_eff,opponent_special_eff,opponent_overall_eff,opponent_off_explosiveness,opponent_def_explosiveness,opponent_off_field_pos,opponent_def_field_pos,opponent_off_havoc,opponent_def_havoc,opponent_pass_eff,opponent_pass_def_eff,opponent_rush_eff,opponent_rush_def_eff,tennessee_off_eff,tennessee_def_eff,tennessee_special_eff,tennessee_overall_eff,tennessee_off_explosiveness,tennessee_def_explosiveness,tennessee_off_field_pos,tennessee_def_field_pos,tennessee_off_havoc,tennessee_def_havoc,tennessee_pass_eff,tennessee_pass_def_eff,tennessee_rush_eff,tennessee_rush_def_eff,tennessee_won,tennessee_point_differential,is_home_game,ppg_difference,papg_difference,ypg_difference,yapg_difference,turnover_difference,efficiency_difference,elo_home_interaction,week_home_interaction,attendance_home_interaction,week_squared,elo_difference_squared,attendance_squared,ppg_ratio,papg_ratio,ypg_ratio,yapg_ratio,is_early_season,is_mid_season,is_late_season,is_postseason,tennessee_points_rolling,opponent_points_rolling,conference_strength,is_cold_weather,is_warm_weather,is_modern_venue,is_old_venue
401403945,2022,11,regular,2022-11-12T17:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,66,"[7, 21, 21, 17]",0.9981246313376992,1957,2018,142,Missouri,fbs,SEC,24,"[7, 10, 7, 0]",0.0018753686623008,1485.0,1424.0,2.4410390784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,42,True,0,0,0,0,0,0,472.0,11,101915.0,121,222784.0,10386667225.0,,,,,False,False,True,False,22.0,,0.9,True,False,True,False
401403953,2022,12,regular,2022-11-20T00:00:00.000Z,False,True,False,True,79041.0,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,63,"[21, 14, 7, 21]",0.9938376861899691,1460,1599,2633,Tennessee,fbs,SEC,38,"[7, 17, 7, 7]",0.0061623138100307,2018.0,1879.0,6.903828433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-25,False,0,0,0,0,0,0,-0.0,0,0.0,144,311364.0,6247479681.0,,,,,False,False,True,False,1.0,,0.9,True,False,True,False
401403964,2022,13,regular,2022-11-27T00:30:00.000Z,False,True,False,True,40350.0,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,0,"[0, 0, 0, 0]",0.0020101816382698,1332,1234,2633,Tennessee,fbs,SEC,56,"[14, 7, 21, 14]",0.9979898183617302,1879.0,1977.0,1.2045247161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,56,False,0,0,0,0,0,0,-0.0,0,0.0,169,299209.0,1628122500.0,,,,,False,False,True,False,24.333333333333332,,0.9,True,False,True,False
401520179,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,True,False,69507.0,3810,Nissan Stadium,2633,Tennessee,fbs,SEC,49,"[7, 14, 14, 14]",0.9989216060109892,1833,1887,258,Virginia,fbs,ACC,13,"[0, 3, 7, 3]",0.0010783939890106,1393.0,1339.0,1.4530125893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,36,True,0,0,0,0,0,0,440.0,1,69507.0,1,193600.0,4831223049.0,,,,,True,False,False,False,36.0,,0.75,False,True,True,False
401551780,2023,1,postseason,2024-01-01T18:00:00.000Z,False,True,True,False,43861.0,4013,Camping World Stadium,2633,Tennessee,fbs,SEC,35,"[0, 14, 7, 14]",0.9986558395437592,1786,1877,2294,Iowa,fbs,Big Ten,0,"[0, 0, 0, 0]",0.0013441604562408,1666.0,1575.0,3.8609151832,,Cheez-It Citrus Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,35,True,0,0,0,0,0,0,120.0,1,43861.0,1,14400.0,1923787321.0,,,,,True,False,False,True,35.5,,0.85,False,True,True,False
401520213,2023,2,regular,2023-09-09T21:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,30,"[3, 10, 10, 7]",0.9885686861865588,1735,1735,2046,Austin Peay,fcs,UAC,13,"[3, 3, 0, 7]",0.0114313138134413,,,7.2248857394,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,17,True,0,0,0,0,0,0,,2,101915.0,4,,10386667225.0,,,,,True,False,False,False,29.333333333333332,0.0,0.25,False,True,True,False
401520224,2023,3,regular,2023-09-16T23:00:00.000Z,False,True,False,True,90751.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,29,"[6, 20, 0, 3]",0.9678796152955736,1546,1603,2633,Tennessee,fbs,SEC,16,"[7, 0, 3, 6]",0.0321203847044263,1887.0,1830.0,4.3957610335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-13,False,0,0,0,0,0,0,-0.0,0,0.0,9,116281.0,8235744001.0,,,,,True,False,False,False,13.0,0.0,0.9,False,True,True,False
401520269,2023,4,regular,2023-09-23T20:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,45,"[14, 17, 0, 14]",0.9973628114879284,1830,1883,2636,UTSA,fbs,American Athletic,14,"[0, 0, 14, 0]",0.0026371885120717,1575.0,1522.0,5.1459353513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,31,True,0,0,0,0,0,0,255.0,4,101915.0,16,65025.0,10386667225.0,,,,,True,False,False,False,11.666666666666666,0.0,0.6,False,True,True,False
401520291,2023,5,regular,2023-09-30T23:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,41,"[14, 10, 7, 10]",0.9969517838681828,1883,1901,2579,South Carolina,fbs,SEC,20,"[10, 0, 7, 3]",0.0030482161318171,1567.0,1549.0,7.3332591652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,21,True,0,0,0,0,0,0,316.0,5,101915.0,25,99856.0,10386667225.0,,,,,False,True,False,False,13.0,,0.9,False,False,True,False
401520326,2023,7,regular,2023-10-14T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,20,"[7, 0, 7, 6]",0.851883910963952,1901,1902,245,Texas A&M,fbs,SEC,13,"[7, 3, 3, 0]",0.148116089036048,1739.0,1738.0,8.8686047483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,7,True,0,0,0,0,0,0,162.0,7,101915.0,49,26244.0,10386667225.0,,,,,False,True,False,False,19.666666666666668,,0.9,False,False,True,False
