team,total_players,qb_count,rb_count,wr_count,avg_overall_usage,avg_pass_usage,avg_rush_usage,avg_third_down_usage
Long Island University,10,3,3,2,0.11100000000000002,0.1275,0.096,0.1189
Maine,14,2,2,5,0.09428571428571429,0.12871428571428573,0.059285714285714296,0.10942857142857143
North Dakota State,17,3,2,8,0.0748235294117647,0.13458823529411765,0.03611764705882353,0.109
Iowa,21,3,6,7,0.09314285714285712,0.14504761904761906,0.06461904761904763,0.11166666666666665
Northern Iowa,11,1,3,6,0.10718181818181818,0.11572727272727272,0.09354545454545454,0.1020909090909091
Virginia Tech,17,3,5,7,0.12382352941176471,0.1591764705882353,0.09599999999999999,0.1307058823529412
Nebraska,23,3,8,9,0.07243478260869565,0.08778260869565217,0.057782608695652174,0.07095652173913042
South Carolina,23,3,6,9,0.08156521739130433,0.10413043478260868,0.06456521739130436,0.08543478260869565
UCLA,14,2,3,6,0.11935714285714286,0.15749999999999995,0.06749999999999999,0.14814285714285713
Florida International,19,4,4,8,0.11473684210526314,0.1430526315789474,0.08842105263157896,0.1158421052631579
East Carolina,19,3,4,8,0.10778947368421053,0.1474736842105263,0.06910526315789474,0.128
Western Michigan,18,2,6,6,0.09016666666666667,0.11216666666666668,0.07294444444444444,0.09066666666666667
Stony Brook,12,1,3,6,0.09408333333333331,0.13116666666666668,0.06316666666666666,0.09041666666666665
San José State,14,3,3,6,0.12278571428571429,0.14842857142857144,0.07664285714285714,0.12364285714285715
Kansas,16,3,6,5,0.1011875,0.114625,0.09056249999999999,0.1015625
William & Mary,15,3,4,6,0.09426666666666665,0.13953333333333334,0.06973333333333334,0.10800000000000001
NC State,18,3,6,7,0.10600000000000001,0.13127777777777777,0.0782222222222222,0.11027777777777778
Montana State,12,2,2,5,0.08008333333333335,0.14683333333333334,0.04541666666666667,0.09549999999999999
Abilene Christian,13,2,4,5,0.1213846153846154,0.13899999999999998,0.09576923076923077,0.13869230769230767
Eastern Michigan,16,2,5,7,0.103875,0.1174375,0.0860625,0.10624999999999998
Prairie View A&M,11,1,5,4,0.108,0.11063636363636363,0.10227272727272728,0.11345454545454547
Wyoming,19,2,5,8,0.09336842105263159,0.10010526315789475,0.08905263157894738,0.0866842105263158
Rice,20,2,5,8,0.09630000000000001,0.11464999999999999,0.06839999999999999,0.10869999999999999
Boston College,19,3,5,8,0.11599999999999999,0.16631578947368422,0.08273684210526315,0.14731578947368423
Monmouth,8,2,3,2,0.137125,0.16462500000000002,0.09487499999999999,0.158625
Colorado State,21,2,6,11,0.08980952380952381,0.1148095238095238,0.06685714285714285,0.1028095238095238
Charlotte,50,6,12,20,0.08648,0.11631999999999998,0.05428000000000001,0.08924000000000003
James Madison,22,4,6,8,0.08568181818181818,0.10486363636363637,0.07,0.09272727272727271
Lamar,14,1,5,5,0.0752142857142857,0.07464285714285715,0.07507142857142857,0.06728571428571427
Gardner-Webb,10,1,3,4,0.0655,0.08180000000000001,0.0501,0.06250000000000001
Western Kentucky,20,2,4,10,0.1004,0.1315,0.06144999999999999,0.11374999999999999
Arizona State,19,3,6,8,0.09836842105263158,0.12526315789473683,0.07952631578947368,0.09636842105263158
Northern Illinois,21,3,7,7,0.09923809523809522,0.12252380952380951,0.08328571428571428,0.10685714285714284
UC Davis,13,4,2,5,0.10846153846153847,0.1440769230769231,0.0686153846153846,0.1246153846153846
Florida Atlantic,25,4,6,11,0.08944,0.1216,0.061320000000000006,0.10428000000000001
Villanova,8,2,2,4,0.10700000000000001,0.17462499999999997,0.049,0.14275
Delaware,24,5,5,10,0.10287500000000001,0.14125,0.056791666666666664,0.09991666666666667
Southern,10,1,5,3,0.10839999999999998,0.10530000000000002,0.11040000000000001,0.1016
Houston Christian,11,3,2,5,0.08200000000000002,0.10800000000000001,0.060727272727272734,0.09209090909090908
San Diego State,14,2,4,6,0.11585714285714285,0.14078571428571426,0.08857142857142855,0.12892857142857142
Missouri State,14,2,6,4,0.11264285714285713,0.12814285714285714,0.09414285714285713,0.12642857142857142
Colorado,16,2,4,8,0.106875,0.122875,0.0794375,0.10487500000000001
Florida State,25,4,6,11,0.09888000000000002,0.12572,0.0676,0.10728
Purdue,22,3,5,11,0.08154545454545453,0.0997272727272727,0.05868181818181819,0.08613636363636362
SMU,21,3,6,8,0.08600000000000001,0.1112857142857143,0.06533333333333333,0.09366666666666668
Mississippi State,16,3,4,7,0.126,0.1665,0.08581250000000001,0.12350000000000001
Nicholls,15,3,4,5,0.0926,0.12426666666666666,0.06986666666666666,0.10279999999999999
Oklahoma,21,2,6,10,0.1021904761904762,0.1347142857142857,0.07433333333333333,0.10623809523809523
Georgia,24,2,8,10,0.09249999999999999,0.11133333333333334,0.06945833333333333,0.09679166666666668
Ohio State,21,4,4,8,0.07890476190476192,0.10442857142857143,0.05566666666666667,0.09133333333333334
Arkansas State,20,2,6,9,0.08125,0.0968,0.06375,0.08245
Stanford,18,3,6,7,0.10472222222222222,0.11922222222222222,0.08566666666666667,0.11483333333333332
South Dakota,14,3,2,6,0.09664285714285711,0.14142857142857143,0.06521428571428571,0.10935714285714285
New Mexico State,21,4,6,8,0.08909523809523809,0.12776190476190474,0.06061904761904763,0.10123809523809524
Samford,13,2,4,7,0.10353846153846157,0.12746153846153846,0.07453846153846154,0.10969230769230769
Florida A&M,14,2,1,8,0.09907142857142857,0.14971428571428572,0.03478571428571429,0.12871428571428573
Boise State,21,3,4,10,0.0808095238095238,0.10066666666666665,0.06495238095238094,0.08685714285714285
Texas Tech,22,3,5,9,0.08868181818181821,0.10563636363636363,0.07018181818181818,0.09427272727272727
West Virginia Wesleyan,1,0,0,0,0.085,0.125,0.0,0.125
UAlbany,14,2,3,6,0.10592857142857146,0.11950000000000001,0.08871428571428572,0.1112857142857143
Ohio,16,2,4,7,0.10018750000000001,0.133,0.0786875,0.1046875
California,24,4,5,11,0.10816666666666667,0.13441666666666666,0.07404166666666667,0.11145833333333333
North Carolina A&T,11,2,2,5,0.0741818181818182,0.10909090909090909,0.036454545454545455,0.08645454545454545
Eastern Illinois,12,2,3,5,0.11358333333333331,0.13325,0.08700000000000001,0.11408333333333331
Rhode Island,12,2,4,4,0.13958333333333336,0.17325,0.12583333333333332,0.1625
Oregon State,15,3,4,6,0.13206666666666667,0.1701333333333333,0.08833333333333332,0.14139999999999997
Marshall,17,3,4,8,0.10094117647058824,0.13994117647058826,0.07247058823529412,0.10752941176470589
Vanderbilt,17,1,4,9,0.082,0.11088235294117646,0.061588235294117645,0.08847058823529412
West Virginia,17,2,4,8,0.0881764705882353,0.11629411764705883,0.06482352941176471,0.10076470588235295
Tennessee State,12,3,3,3,0.07791666666666668,0.10516666666666664,0.04358333333333333,0.0825
Houston,20,4,6,7,0.0873,0.1116,0.06545,0.08025
Washington State,21,3,5,9,0.10104761904761904,0.13723809523809521,0.06690476190476191,0.12266666666666665
Wofford,11,3,2,5,0.10672727272727273,0.14409090909090908,0.07100000000000001,0.11963636363636364
Kent State,21,4,7,8,0.11742857142857144,0.14990476190476193,0.09061904761904761,0.12123809523809523
Tulsa,23,5,5,10,0.0753913043478261,0.09343478260869566,0.056739130434782604,0.08330434782608695
Southern Illinois,12,3,2,4,0.14466666666666664,0.20633333333333334,0.07366666666666666,0.17350000000000002
VMI,7,1,1,5,0.13485714285714287,0.17028571428571432,0.09271428571428572,0.1514285714285714
Jackson State,15,3,3,8,0.08813333333333333,0.13960000000000003,0.040466666666666665,0.11006666666666667
Rutgers,16,2,4,6,0.09812499999999999,0.1194375,0.082125,0.09912499999999999
Kentucky,19,3,5,7,0.0956315789473684,0.11668421052631577,0.07652631578947369,0.10089473684210526
Syracuse,21,2,5,10,0.08904761904761904,0.10457142857142857,0.061857142857142854,0.09214285714285714
Auburn,21,4,5,8,0.09199999999999997,0.11704761904761904,0.066,0.08666666666666667
South Carolina State,8,1,1,5,0.06925,0.106875,0.029375,0.098
Akron,14,2,3,7,0.10057142857142858,0.12314285714285712,0.07128571428571429,0.10878571428571428
Sacred Heart,9,0,4,4,0.07,0.0621111111111111,0.07466666666666667,0.06255555555555557
Penn State,17,3,5,6,0.09829411764705881,0.11947058823529412,0.0801764705882353,0.09952941176470588
Virginia,24,3,6,11,0.07495833333333334,0.09204166666666669,0.05408333333333334,0.072
Cincinnati,18,2,5,8,0.08872222222222222,0.10816666666666669,0.06994444444444443,0.09061111111111111
Texas A&M,20,3,5,9,0.10064999999999999,0.13,0.07605,0.10710000000000001
Northern Arizona,10,2,2,5,0.07490000000000001,0.08499999999999999,0.06870000000000001,0.0759
Northern Colorado,13,3,6,2,0.09907692307692309,0.10530769230769232,0.09369230769230769,0.10438461538461538
Merrimack,12,4,2,4,0.10916666666666668,0.16116666666666668,0.07858333333333334,0.13491666666666666
Georgia Southern,19,3,4,9,0.08273684210526315,0.10331578947368421,0.060157894736842105,0.08884210526315789
SE Louisiana,12,2,3,5,0.09333333333333332,0.11441666666666665,0.07408333333333333,0.09633333333333334
App State,15,1,4,6,0.10253333333333334,0.12400000000000003,0.08186666666666667,0.1134
Louisiana Tech,20,3,5,8,0.10515000000000001,0.13365,0.0777,0.11810000000000001
Ball State,22,3,5,10,0.0805,0.09731818181818182,0.059454545454545454,0.08795454545454545
UNLV,18,3,5,8,0.10188888888888888,0.15405555555555553,0.07600000000000001,0.11472222222222223
Central Connecticut,12,3,3,5,0.09308333333333334,0.13000000000000003,0.06941666666666667,0.10183333333333335
Pittsburgh,22,4,5,10,0.10854545454545454,0.12886363636363635,0.0805909090909091,0.11340909090909092
Jacksonville State,21,3,5,9,0.07442857142857144,0.09971428571428571,0.06176190476190476,0.07661904761904763
Maryland,20,4,5,8,0.08939999999999998,0.11114999999999997,0.05900000000000001,0.10005000000000001
Tulane,19,2,6,7,0.08163157894736842,0.11763157894736842,0.061473684210526326,0.07857894736842104
Western Illinois,9,1,4,2,0.08066666666666666,0.060000000000000005,0.10011111111111111,0.06822222222222223
Stetson,8,3,0,3,0.139125,0.206125,0.020375,0.16062500000000002
Coastal Carolina,22,4,6,9,0.10268181818181818,0.12945454545454546,0.07881818181818182,0.11022727272727272
New Mexico,13,2,4,6,0.11784615384615385,0.14153846153846156,0.09207692307692308,0.11261538461538462
Furman,10,1,3,6,0.0926,0.09430000000000001,0.0932,0.0975
Alabama,25,4,7,9,0.0718,0.0972,0.05156000000000001,0.07664
UL Monroe,21,3,7,7,0.07895238095238097,0.10757142857142858,0.06504761904761905,0.08376190476190475
